GENUS.SPECIES,DORMANCY.CLASS
Acer campbellii,PD
Acer campestre,PD
Acer campestre,PD
Acer caudatum,PD
Acer caudatum,PD
Acer circinatum,PD
Acer circinatum,PD
Acer davidii,PD
Acer davidii,PD
Acer diabolicum,PD
Acer diffusum,PD
Acer floridanum,PD
Acer ginnala,PD
Acer glabrum,PD
Acer griseum,PD
Acer kawakamii,PD
Acer macrophyllum,PD
Acer macrophyllum,PD
Acer mandshuricum,PD
Acer maximowiczianum,PD
Acer maximowiczii,PD
Acer mono,PD
Acer monspessulanum,PD
Acer morrisonense,PD
Acer negundo,PD
Acer oblongum,ND
Acer oblongum,PD
Acer opalus,PD
Acer opalus,PD
Acer opalus,PD
Acer palmatum,PD
Acer pensylvanicum,PD
Acer pictum,PD
Acer platanoides,PD
Acer pseudoplatanus,PD
Acer pseudosieboldianum,PD
Acer rubrum,PD
Acer saccharinum,ND
Acer saccharum,PD
Acer saccharum -grandidentatum,PD
Acer semenovii,PD
Acer serrulatum,PD
Acer sino-oblongum,PD
Acer skutchii,ND
Acer sterculiaceum,PD
Acer sterculiaceum,PD
Acer tataricum,PD
Acer tegumentosum,PD
Acer tetramerum,PD
Acer thomsonii,PD
Acer trautvetteri,PD
Acer triflorum,PD
Acer truncatum,PD
Acer ukurunduense,PD
Acharia tragodes,MPD
Achillea acuminata,PD
Achillea fragrantissima,PD
Achillea millefolium,ND
Achillea millefolium,ND
Achillea santolina,PD
Achmella caulirhiza,PD
Achnatherum extremiorientale,PD
Achnatherum inebrians,ND
Achnatherum inebrians,ND
Achnatherum psilantherum,ND
Achnatherum robustum,ND
Achnatherum sibiricum,PD
Achnatherum splendens,PD
Achnatherum splendens,PD
Achnopora tatei,PD
Achras sapota,PD
Achrysanthes splendens,ND
Achyranthes aspera,ND
Achyranthes aspera,PD
Achyranthes aspera,PD
Achyranthes fauriei,ND
Achyrocline satureioides,ND
Achyrocline satureioides,PD
Acioa scabrifolia,ND
Acmanthera latifolia,PD
Acmena graveolens,PD
Acoelorraphe wrightii,MPD
Acoelorraphe wrightii,MPD
Acokanthera schimperi,ND
Acokanthera schimperi,ND
Aconitum barbatum,MPD
Aconitum brunneum,MPD
Aconitum columbianum,MPD
Aconitum flavum,MPD
Aconitum grossedentatum,MPD
Aconitum gymnandrum,MPD
Aconitum lycoctonum,MPD
Aconitum pendulum,MPD
Aconitum sinomontanum,MPD
Aconitum soongaricum,MPD
Aconitum sungpanense,MPD
Aconitum tanguticum,MPD
Acorus calamus,MPD
Acosmium dasycarpum,PY
Acosmium nitens,PY
Acosmium subelegans,ND
Acrisione denticulata,ND
Acrocarpus fraxinifolius,PY
Acrocarpus fraxinifolius,PY
Acrocomia aculeata,MPD
Acrocomia media,MPD
Acrocomia mexicana,MPD
Acrocomia sclerocarpa,MPD
Acroglochin persicarioides,PD
Acronema chinense,MPD
Acronychia pedunculata,ND
Acronychia vestita,PD
Acrotriche patula,PD
Actaea pachypoda,MPD
Actaea racemosa,MPD
Actaea rubra,MPD
Actaea rubra arguta,MPD
Actinidia kolomikta,PD
Actinidia latifolia,PD
Actinidia polygama,PD
Actinobole uliginosum,PD
Actinobole uliginosum,PD
Actinocladum verticillatum,PD
Actinocladum verticillatum,PD
Actinodaphne henryi,PD
Actinodaphne hookeri,PD
Actinodaphne lancifolia,PD
Actinodaphne malabarica,PD
Actinodium cunninghamii,PD
Actinorhytis calapparia,MPD
Actinostrobus acuminatus,PD
Actinotus helianthi,MPD
Actinotus leucocephalus,MPD
Adansonia digitata,PY
Adansonia grandidieri,PY
Adansonia gregorii,PY
Adansonia madagascariensis,PY
Adansonia rubrostipa,PY
Adansonia suarezensis,PY
Adelia triloba,ND
Adenanthera bicolor,PY
Adenanthera colubrina,ND
Adenanthera colubrina,ND
Adenanthera microsperma,PY
Adenanthera pavonia,PY
Adenanthera pavonina,PY
Adenanthos ellipticus,PD
Adenanthos labillardieri,PD
Adenanthos pungens,PD
Adenanthos velutinus,PD
Adenia macrophylla,ND
Adenocarpus complicatus,PY
Adenocarpus decorticans,PY
