"SITE","BIOMASS","EXCL","PACKET","TYPE","SURV","REF","diff"
"GG","High biomass","H","Rain
adjacent","Physiological dormancy",0,0,0
"GG","High biomass","H","Rain
adjacent","Physical dormancy",0,0.2,-0.2
"GG","High biomass","H","Rain
proximal","No dormancy",0,0,0
"GG","High biomass","H","Rain
proximal","Physiological dormancy",0,0,0
"GG","High biomass","H","Rain
proximal","Physical dormancy",0.2,0.2,0
"GG","High biomass","H","Bank
adjacent","No dormancy",0.4,0.7,-0.3
"GG","High biomass","H","Bank
adjacent","Physiological dormancy",0.4,0.4,0
"GG","High biomass","H","Bank
adjacent","Physical dormancy",0.2,0,0.2
"GG","High biomass","H","Bank
proximal","No dormancy",0,0.7,-0.7
"GG","High biomass","H","Bank
proximal","Physiological dormancy",0.6,0.4,0.2
"GG","High biomass","H","Bank
proximal","Physical dormancy",0,0,0
"GG","High biomass","O","Rain
adjacent","No dormancy",1,0,1
"GG","High biomass","O","Rain
adjacent","Physiological dormancy",0.2,0,0.2
"GG","High biomass","O","Rain
adjacent","Physical dormancy",0,0.2,-0.2
"GG","High biomass","O","Rain
proximal","No dormancy",0.1,0,0.1
"GG","High biomass","O","Rain
proximal","Physiological dormancy",0,0,0
"GG","High biomass","O","Rain
proximal","Physical dormancy",0,0.2,-0.2
"GG","High biomass","O","Bank
adjacent","No dormancy",0.2,0.7,-0.5
"GG","High biomass","O","Bank
adjacent","Physiological dormancy",0.4,0.4,0
"GG","High biomass","O","Bank
adjacent","Physical dormancy",0.1,0,0.1
"GG","High biomass","O","Bank
proximal","No dormancy",0.2,0.7,-0.5
"GG","High biomass","O","Bank
proximal","Physiological dormancy",0,0.4,-0.4
"GG","High biomass","O","Bank
proximal","Physical dormancy",0,0,0
"GG","High biomass","S","Rain
adjacent","No dormancy",0.7,0,0.7
"GG","High biomass","S","Rain
adjacent","Physiological dormancy",0.2,0,0.2
"GG","High biomass","S","Rain
adjacent","Physical dormancy",0.2,0.2,0
"GG","High biomass","S","Rain
proximal","No dormancy",0.6,0,0.6
"GG","High biomass","S","Rain
proximal","Physiological dormancy",0,0,0
"GG","High biomass","S","Rain
proximal","Physical dormancy",0.3,0.2,0.1
"GG","High biomass","S","Bank
adjacent","No dormancy",0.1,0.7,-0.6
"GG","High biomass","S","Bank
adjacent","Physiological dormancy",0,0.4,-0.4
"GG","High biomass","S","Bank
adjacent","Physical dormancy",0,0,0
"GG","High biomass","S","Bank
proximal","No dormancy",0.1,0.7,-0.6
"GG","High biomass","S","Bank
proximal","Physiological dormancy",0.6,0.4,0.2
"GG","High biomass","S","Bank
proximal","Physical dormancy",0.3,0,0.3
"OS","Low biomass","H","Rain
adjacent","No dormancy",0.2,1,-0.8
"OS","Low biomass","H","Rain
adjacent","Physiological dormancy",0.6,0.8,-0.2
"OS","Low biomass","H","Rain
adjacent","Physical dormancy",0.2,0,0.2
"OS","Low biomass","H","Rain
proximal","No dormancy",0.2,1,-0.8
"OS","Low biomass","H","Rain
proximal","Physiological dormancy",0.4,0.8,-0.4
"OS","Low biomass","H","Rain
proximal","Physical dormancy",0,0,0
"OS","Low biomass","H","Bank
adjacent","No dormancy",0.8,0.8,0
"OS","Low biomass","H","Bank
adjacent","Physiological dormancy",0,0.2,-0.2
"OS","Low biomass","H","Bank
adjacent","Physical dormancy",1,0.6,0.4
"OS","Low biomass","H","Bank
proximal","No dormancy",0.8,0.8,0
"OS","Low biomass","H","Bank
proximal","Physiological dormancy",0,0.2,-0.2
"OS","Low biomass","H","Bank
proximal","Physical dormancy",0.8,0.6,0.2
"OS","Low biomass","O","Rain
adjacent","No dormancy",0.8,1,-0.2
"OS","Low biomass","O","Rain
adjacent","Physiological dormancy",0.4,0.8,-0.4
"OS","Low biomass","O","Rain
adjacent","Physical dormancy",0.6,0,0.6
"OS","Low biomass","O","Rain
proximal","No dormancy",0,1,-1
"OS","Low biomass","O","Rain
proximal","Physiological dormancy",0,0.8,-0.8
"OS","Low biomass","O","Rain
proximal","Physical dormancy",0,0,0
"OS","Low biomass","O","Bank
adjacent","No dormancy",0.8,0.8,0
"OS","Low biomass","O","Bank
adjacent","Physiological dormancy",0.4,0.2,0.2
"OS","Low biomass","O","Bank
adjacent","Physical dormancy",0.8,0.6,0.2
"OS","Low biomass","O","Bank
proximal","No dormancy",0,0.8,-0.8
"OS","Low biomass","O","Bank
proximal","Physiological dormancy",0,0.2,-0.2
"OS","Low biomass","O","Bank
proximal","Physical dormancy",0,0.6,-0.6
"OS","Low biomass","S","Rain
adjacent","No dormancy",0.2,1,-0.8
"OS","Low biomass","S","Rain
adjacent","Physiological dormancy",0.6,0.8,-0.2
"OS","Low biomass","S","Rain
adjacent","Physical dormancy",0.2,0,0.2
"OS","Low biomass","S","Rain
proximal","No dormancy",0,1,-1
"OS","Low biomass","S","Rain
proximal","Physiological dormancy",0,0.8,-0.8
"OS","Low biomass","S","Rain
proximal","Physical dormancy",0,0,0
"OS","Low biomass","S","Bank
adjacent","No dormancy",0,0.8,-0.8
"OS","Low biomass","S","Bank
adjacent","Physiological dormancy",0.6,0.2,0.4
"OS","Low biomass","S","Bank
adjacent","Physical dormancy",0,0.6,-0.6
"OS","Low biomass","S","Bank
proximal","No dormancy",0,0.8,-0.8
"OS","Low biomass","S","Bank
proximal","Physiological dormancy",0,0.2,-0.2
"OS","Low biomass","S","Bank
proximal","Physical dormancy",0,0.6,-0.6
"OS","High biomass","H","Rain
adjacent","No dormancy",0.6,1,-0.4
"OS","High biomass","H","Rain
adjacent","Physiological dormancy",0,0.8,-0.8
"OS","High biomass","H","Rain
adjacent","Physical dormancy",0.4,0,0.4
"OS","High biomass","H","Rain
proximal","No dormancy",0,1,-1
"OS","High biomass","H","Rain
proximal","Physiological dormancy",0,0.8,-0.8
"OS","High biomass","H","Rain
proximal","Physical dormancy",0,0,0
"OS","High biomass","H","Bank
adjacent","No dormancy",0.8,0.8,0
"OS","High biomass","H","Bank
adjacent","Physiological dormancy",0.2,0.2,0
"OS","High biomass","H","Bank
adjacent","Physical dormancy",0.8,0.6,0.2
"OS","High biomass","H","Bank
proximal","No dormancy",0,0.8,-0.8
"OS","High biomass","H","Bank
proximal","Physiological dormancy",0,0.2,-0.2
"OS","High biomass","H","Bank
proximal","Physical dormancy",0,0.6,-0.6
"OS","High biomass","O","Rain
adjacent","No dormancy",0,1,-1
"OS","High biomass","O","Rain
adjacent","Physiological dormancy",0.8,0.8,0
"OS","High biomass","O","Rain
adjacent","Physical dormancy",0,0,0
"OS","High biomass","O","Rain
proximal","No dormancy",0,1,-1
"OS","High biomass","O","Rain
proximal","Physiological dormancy",0,0.8,-0.8
"OS","High biomass","O","Rain
proximal","Physical dormancy",0,0,0
"OS","High biomass","O","Bank
adjacent","No dormancy",0.6,0.8,-0.2
"OS","High biomass","O","Bank
adjacent","Physiological dormancy",0,0.2,-0.2
"OS","High biomass","O","Bank
adjacent","Physical dormancy",1,0.6,0.4
"OS","High biomass","O","Bank
proximal","No dormancy",0,0.8,-0.8
"OS","High biomass","O","Bank
proximal","Physiological dormancy",0,0.2,-0.2
"OS","High biomass","O","Bank
proximal","Physical dormancy",0,0.6,-0.6
"OS","High biomass","S","Rain
adjacent","No dormancy",0,1,-1
"OS","High biomass","S","Rain
adjacent","Physiological dormancy",0.6,0.8,-0.2
"OS","High biomass","S","Rain
adjacent","Physical dormancy",0,0,0
"OS","High biomass","S","Rain
proximal","No dormancy",0,1,-1
"OS","High biomass","S","Rain
proximal","Physiological dormancy",0,0.8,-0.8
"OS","High biomass","S","Rain
proximal","Physical dormancy",0,0,0
"OS","High biomass","S","Bank
adjacent","No dormancy",0.8,0.8,0
"OS","High biomass","S","Bank
adjacent","Physiological dormancy",0,0.2,-0.2
"OS","High biomass","S","Bank
adjacent","Physical dormancy",0,0.6,-0.6
"OS","High biomass","S","Bank
proximal","No dormancy",0,0.8,-0.8
"OS","High biomass","S","Bank
proximal","Physiological dormancy",1,0.2,0.8
"OS","High biomass","S","Bank
proximal","Physical dormancy",0,0.6,-0.6
"WP","Low biomass","H","Rain
adjacent","No dormancy",1,0.4,0.6
"WP","Low biomass","H","Rain
adjacent","Physiological dormancy",0,0,0
